x,y,amp,phase
-0.30025009,0.226373059,0.00122071,-70.134
-0.299739806,0.227256346,0.0011735,-69.246
-0.295182221,0.223157499,0.00107957,-70.518
-0.290449816,0.218719712,0.00100995,-64.2
-0.285750473,0.214118501,0.000971798,-69.444
-0.281084193,0.209345317,0.000824217,-78.3
-0.276450976,0.204390376,0.000721697,-83.544
-0.272373209,0.200217756,0.000633959,-69.474
-0.268442826,0.201420166,0.000485422,-74.76
-0.266152545,0.200297227,0.000569824,-73.662
-0.27052313,0.205289985,0.000668768,-58.08
-0.275124723,0.21032052,0.000599626,-44.922
-0.279961634,0.215375786,0.00108815,-54.726
-0.284630789,0.220044802,0.000869755,-45.27
-0.289538201,0.22474306,0.001153,-45.912
-0.294274919,0.229086889,0.00106812,-70.374
-0.299044699,0.233282186,0.00116516,-74.19
-0.300008975,0.234438084,0.00133706,-67.89
-0.300851094,0.237768682,0.00124622,-68.484
-0.300150721,0.240115066,0.00141407,-70.122
-0.299785575,0.240461671,0.0014484,-68.286
-0.295207365,0.23657474,0.00134326,-60.03
-0.290453397,0.23237438,0.00118256,-58.08
-0.285732492,0.228028652,0.00107337,-55.734
-0.280841581,0.223332081,0.000910047,-48.204
-0.276188238,0.218668531,0.000781063,-36.48
-0.271567958,0.213837399,0.000679735,-34.638
-0.266980741,0.208829251,0.000414373,-17.526
-0.262426586,0.203633258,0.000204087,-33.858
-0.259199721,0.200198327,0.000138284,-7.05
-0.255276463,0.201338614,0.000256302,22.962
-0.253202876,0.200381711,0.000287058,26.028
-0.257504711,0.205566743,0.00045562,1.488
-0.262034429,0.210793827,0.000615362,-4.428
-0.266597209,0.215835094,0.000694994,-17.208
-0.271193051,0.220701225,0.000897173,-31.29
-0.276023963,0.225602273,0.000992306,-38.07
-0.280687368,0.230138263,0.0011747,-45.726
-0.285383835,0.234524098,0.00118948,-52.476
-0.290113365,0.238766102,0.00128938,-61.284
-0.294875958,0.242869879,0.00136877,-67.398
-0.299462419,0.246670487,0.00129247,-68.91
-0.300010682,0.247436733,0.00132538,-69.468
-0.300839363,0.250663744,0.00128675,-69.702
-0.30011649,0.252961658,0.00129963,-68.862
-0.299745407,0.253305681,0.0013094,-67.32
-0.295146571,0.249601168,0.00130153,-59.688
-0.290371041,0.245604092,0.00125647,-50.082
-0.285628574,0.2414758,0.00136519,-44.904
-0.280715162,0.237022847,0.00127722,-36.858
-0.276040257,0.232610627,0.00117756,-27.294
-0.271398415,0.228050401,0.00102688,-20.058
-0.266590003,0.223126519,0.000877861,-14.388
-0.262015723,0.218241046,0.000856403,-0.846
-0.257277811,0.212959173,0.000676397,2.232
-0.252771094,0.207710226,0.000562433,20.28
-0.248297439,0.202265892,0.000435116,26.742
-0.246281927,0.200135762,0.00052667,35.484
-0.242364919,0.201218913,0.000567917,49.926
-0.240309457,0.200201177,0.000561479,49.284
-0.244542542,0.205575235,0.000705246,33.456
-0.249194954,0.211226226,0.000770811,21.564
-0.253687297,0.216448012,0.000909094,5.01
-0.258212702,0.221491743,0.00102425,-3.534
-0.262771169,0.226367337,0.00117303,-13.224
-0.267362699,0.231083483,0.00129963,-22.224
-0.272189111,0.235842932,0.00147773,-27.036
-0.276848203,0.240256041,0.00144101,-35.1
-0.281540358,0.244530314,0.00141454,-40.764
-0.286265576,0.248671039,0.00143076,-52.17
-0.291023856,0.252682925,0.00137163,-58.164
-0.296024267,0.256736422,0.00127149,-64.716
-0.30013677,0.260266004,0.0012889,-71.49
-0.300952451,0.263401565,0.00126839,-77.166
-0.300207078,0.265657384,0.00122715,-72.192
-0.299829995,0.265999396,0.00127579,-74.148
-0.29520916,0.262458417,0.00128055,-63.534
-0.29041063,0.25864262,0.00145746,-51.804
-0.285645162,0.254707112,0.00146986,-47.46
-0.28070775,0.250468797,0.00159789,-42.06
-0.276009845,0.246276511,0.00151063,-32.976
-0.271345003,0.241951651,0.00152231,-24.498
-0.266512591,0.237291675,0.00144101,-20.148
-0.261915311,0.232678727,0.00135422,-12.312
-0.2571534,0.227704277,0.00117565,-3.348
-0.252623682,0.222774924,0.00114227,7.206
-0.248127027,0.217678007,0.000952724,22.62
-0.243663435,0.212403565,0.00073934,30.456
-0.239041023,0.206698141,0.000652555,57.972
-0.234644993,0.201023455,0.000545744,56.592
-0.233610453,0.200067068,0.000612263,52.566
-0.229425369,0.201148719,0.000724081,54.78
-0.227849614,0.200279545,0.000712875,56.424
-0.232016699,0.20582196,0.00082064,47.28
-0.236405542,0.211413553,0.000912908,37.41
-0.240827447,0.216811707,0.00102425,24.624
-0.245282414,0.222028557,0.00106931,19.644
-0.249966326,0.227290322,0.00114251,4.956
-0.254488856,0.232168058,0.00122691,-1.698
-0.259044449,0.236892699,0.0013857,-21.126
-0.263633104,0.241471363,0.0014546,-16.77
-0.268254821,0.245910351,0.00160647,-30.06
-0.273112733,0.250399474,0.00159288,-39.45
-0.277802013,0.2545698,0.00157119,-41.838
-0.282524355,0.258615685,0.00147558,-47.538
-0.28727976,0.262541098,0.00135089,-54.354
-0.292277172,0.26651258,0.00123025,-62.706
-0.297100139,0.270202471,0.00106097,-68.754
-0.300178859,0.272797092,0.00100756,-70.38
-0.300981539,0.275853226,0.00106407,-74.394
-0.300213666,0.278072863,0.000975136,-75.054
-0.299830584,0.278413277,0.000933889,-80.646
-0.294977429,0.274859043,0.00114275,-69.876
-0.290157336,0.271196985,0.00129605,-61.428
-0.285162924,0.267257889,0.00152279,-49.716
-0.280410394,0.263366956,0.00165773,-40.734
-0.275690927,0.259359187,0.00169135,-35.58
-0.270801515,0.255048628,0.00166822,-30.036
-0.26614961,0.250790238,0.00168777,-27.006
-0.261530768,0.246402463,0.00169349,-24.696
-0.256746356,0.241680394,0.00155593,-15.984
-0.252195076,0.237011535,0.00148345,-4.398
-0.247676859,0.232195565,0.0013547,3.504
-0.243191704,0.227225102,0.00123788,11.268
-0.238739611,0.222091777,0.00110293,21.594
-0.234129199,0.2165513,0.00103808,30.42
-0.229554788,0.210810663,0.000856642,31.614
-0.225204758,0.205108077,0.000679497,37.86
-0.22117611,0.200026248,0.00060058,39.552
-0.216996026,0.201055286,0.000617508,26.142
-0.215619528,0.20040837,0.00066543,23.742
-0.219721988,0.206106778,0.00070167,25.56
-0.224043268,0.211857617,0.000813249,67.788
-0.228397611,0.217411844,0.00109363,21.018
-0.232785016,0.222782225,0.00121856,15.378
-0.237398427,0.228202064,0.00123955,11.736
-0.241853395,0.233229711,0.00129939,3.33
-0.246341425,0.238103118,0.00145269,-9.006
-0.250862517,0.24282974,0.00145889,-16.506
-0.255416672,0.247416175,0.00166965,-25.452
-0.26000389,0.251868289,0.00167847,-28.014
-0.264825801,0.256376411,0.0016048,-35.04
-0.269480581,0.260569694,0.0016451,-36.678
-0.274168424,0.264642905,0.00154091,-44.31
-0.278889329,0.268599775,0.00139738,-51.324
-0.283850741,0.272608264,0.00128508,-57.756
-0.288639208,0.276337445,0.00110079,-65.922
-0.29367112,0.28011455,0.00103546,-76.29
-0.29852715,0.283627323,0.00093222,-87.09
-0.300136947,0.285069362,0.000908617,-90.906
-0.300839058,0.288299232,0.00081921,-88.476
-0.300136255,0.290244067,0.000790123,-94.692
-0.299747172,0.290583193,0.000807051,-90.438
-0.295082336,0.287312614,0.000886206,-74.256
-0.290237806,0.283795013,0.000995167,-63.69
-0.285217894,0.280015061,0.00127793,-62.214
-0.280233983,0.27612078,0.00134707,-59.49
-0.275491515,0.272278768,0.00146032,-47.97
-0.27078211,0.268326194,0.00156832,-42.06
-0.266105768,0.264259863,0.00161362,-37.128
-0.261462488,0.260076225,0.00164271,-33.024
-0.256652576,0.255581335,0.00156189,-27.426
-0.251878664,0.250949378,0.0015359,-20.358
-0.247337447,0.246376585,0.00148488,-16.602
-0.242634035,0.241459205,0.00143243,-7.242
-0.237966624,0.236385907,0.00131107,1.404
-0.233527469,0.231370217,0.00127054,8.142
-0.229121376,0.226195841,0.00115848,15.546
-0.224558964,0.220617368,0.00105525,15.768
-0.220220434,0.215088777,0.000895742,19.716
-0.215728523,0.209116031,0.000693802,17.4
-0.211457555,0.203182295,0.000580791,10.614
-0.208969898,0.200044447,0.000564102,1.71
-0.204793877,0.201024529,0.000643495,-12.516
-0.203427504,0.200346104,0.000742678,-9.714
-0.20746534,0.206197185,0.000788216,0.384
-0.211719057,0.212103524,0.000887636,8.586
-0.216005837,0.21780983,0.00101209,9.072
-0.22032568,0.223329535,0.00117827,6.714
-0.224678584,0.228674277,0.0013249,6.594
-0.229064552,0.233854206,0.00137568,-2.178
-0.233676464,0.239093247,0.0013919,-5.154
-0.238129994,0.24396292,0.00146676,-10.806
-0.242812405,0.248894251,0.00151253,-15.354
-0.247530817,0.253679164,0.00157858,-24.246
-0.25208641,0.258133025,0.00161601,-28.428
-0.256675065,0.262462917,0.00162769,-33.096
-0.261498476,0.266853574,0.00156499,-37.032
-0.266154694,0.27094313,0.00153352,-42.042
-0.271048605,0.275091013,0.00143266,-47.118
-0.275978517,0.279120372,0.00129557,-51.138
-0.280736797,0.282873567,0.0011859,-58.806
-0.285737209,0.286679722,0.00102378,-65.88
-0.290563051,0.290224002,0.000942472,-68.568
-0.295421956,0.293669254,0.000826601,-80.472
-0.299673966,0.296586053,0.000787262,-84.378
-0.300011035,0.29711485,0.000739101,-89.274
-0.300821334,0.300662085,0.000747923,-80.292
-0.299793517,0.302680013,0.000725988,-77.49
-0.294892924,0.299380884,0.000807766,-72.3
-0.290025394,0.295987316,0.000972513,-62.52
-0.284981483,0.292343742,0.00107003,-57.18
-0.280181515,0.288751901,0.00116492,-48.348
-0.275208104,0.284897226,0.00135422,-49.254
-0.270475699,0.281098597,0.0014515,-44.832
-0.265572787,0.277022938,0.00158191,-45.75
-0.260907944,0.273006988,0.00157905,-43.938
-0.256075533,0.268698122,0.00151635,-39.996
-0.251478253,0.264451824,0.00149418,-34.308
-0.246716341,0.259894622,0.00141693,-24.57
-0.241990429,0.25520362,0.00136853,-19.608
-0.237495212,0.250577458,0.00129557,-12.66
-0.2328398,0.245607927,0.00124694,-9.834
-0.228412145,0.240702853,0.00127745,-1.314
-0.223827233,0.235428183,0.00128055,1.818
-0.219467141,0.230215424,0.00117827,-0.216
-0.215140111,0.224839209,0.00107122,4.998
-0.210846144,0.219289474,0.000940327,1.734
-0.206585239,0.213554686,0.000814442,-12.324
-0.202174327,0.207358855,0.000735048,-17.112
-0.197980984,0.201202238,0.000642542,-37.59
-0.196983006,0.200150047,0.000663284,-31.806
-0.19281011,0.201084378,0.000698809,-41.406
-0.191453487,0.200376883,0.00083733,-37.482
-0.195428073,0.206368086,0.000861172,-24.804
-0.199615665,0.212417271,0.000980146,-16.026
-0.204020577,0.218513219,0.0010295,-12.072
-0.208275732,0.224162435,0.00120188,-6.144
-0.212751144,0.229869398,0.0012672,-3.822
-0.217073861,0.235169398,0.00129844,-6.522
-0.221429641,0.240313131,0.00130606,-7.152
-0.225818483,0.245308666,0.0012951,-14.088
-0.230433395,0.250371107,0.00129867,-20.4
-0.2348898,0.255085138,0.00133563,-24.066
-0.239575212,0.259866842,0.00137807,-29.232
-0.244099179,0.264322938,0.00137521,-31.998
-0.248855091,0.26884583,0.00144554,-36.528
-0.253647003,0.273243566,0.00144387,-37.98
-0.258474914,0.277520231,0.00144268,-41.382
-0.263135444,0.281508487,0.0013547,-42.354
-0.268033856,0.28555832,0.00125767,-45.144
-0.272761949,0.289334951,0.00129152,-46.074
-0.27773086,0.293169363,0.00115991,-46.068
-0.282526515,0.296744215,0.00107671,-46.044
-0.287565927,0.300372453,0.000950102,-51.006
-0.292641339,0.30389839,0.000826363,-58.206
-0.29775275,0.307323764,0.000662569,-66.144
-0.300015505,0.309098789,0.000710968,-68.148
-0.300809304,0.312579487,0.000776056,-59.418
-0.299757924,0.314577457,0.000809435,-59.592
-0.295046339,0.311528268,0.000901941,-54.594
-0.289940927,0.30810883,0.000963453,-48.756
-0.285082022,0.304739443,0.00102902,-44.136
-0.28004711,0.301125541,0.0011406,-41.112
-0.275255768,0.297566624,0.00118376,-43.572
-0.270085287,0.293590003,0.00129128,-43.398
-0.265158375,0.289664075,0.0013342,-45.72
-0.260470533,0.285799754,0.00136066,-46.068
-0.255614121,0.281658317,0.00133873,-44.628
-0.250993841,0.277582057,0.00139261,-39.312
-0.246207929,0.273213195,0.00134087,-37.212
-0.241458018,0.268722736,0.00130225,-37.14
-0.2369398,0.264301337,0.00122977,-30.66
-0.232454645,0.259760175,0.00133205,-26.364
-0.227616977,0.25468285,0.00130106,-22.968
-0.223009565,0.249664103,0.0013032,-15.612
-0.21862791,0.24471537,0.00133825,-11.688
-0.214090998,0.239399056,0.00131703,-11.604
-0.209776906,0.234150424,0.00127412,-14.034
-0.205495876,0.22874262,0.00121213,-13.776
-0.201063964,0.222919519,0.00117088,-19.848
-0.196850497,0.217154885,0.000977047,-23.082
-0.192489085,0.210933408,0.000837568,-38.586
-0.188163673,0.204484646,0.000741486,-44.592
-0.185028364,0.2000881,0.000780109,-49.53
-0.180858593,0.200978498,0.000750784,-49.692
-0.17951172,0.200242721,0.00077844,-27.924
-0.183423056,0.206370839,0.000744585,-45.264
-0.187724467,0.212823581,0.000926737,-28.632
-0.192061879,0.219052502,0.00110341,-26.172
-0.196252347,0.224827151,0.0012734,-22.95
-0.200475877,0.230423923,0.00137139,-17.658
-0.204918288,0.236086146,0.00144816,-15.69
-0.209209381,0.241351819,0.00143457,-14.4
-0.213533536,0.24646876,0.00145937,-15.138
-0.218080947,0.25165757,0.00128008,-18.018
-0.222664359,0.256699878,0.00123883,-23.382
-0.227090577,0.261400711,0.00119592,-28.224
-0.231744488,0.266174502,0.0011921,-31.686
-0.236238268,0.27062822,0.00126792,-35.586
-0.24096268,0.275153687,0.00118805,-39.312
-0.245524022,0.279377633,0.00115705,-44.49
-0.250318934,0.283671025,0.00120784,-46.074
-0.255149846,0.287851154,0.00129534,-43.386
-0.260016758,0.291921099,0.00124908,-41.742
-0.264714663,0.295720636,0.00118423,-40.746
-0.269652074,0.299582573,0.00122691,-33.822
-0.274625486,0.303341743,0.00114108,-36.768
-0.279425453,0.306849726,0.00116039,-38.82
-0.284469365,0.310413322,0.00108171,-40.686
-0.289549277,0.31387956,0.000903849,-49.074
-0.294665189,0.317249902,0.000814203,-46.758
-0.299601719,0.320391032,0.000882868,-55.812
-0.300153545,0.321030049,0.000949625,-52.608
-0.300931344,0.324449654,0.000916723,-43.512
-0.299856339,0.326429807,0.000928406,-47.028
-0.294905434,0.323342115,0.00109506,-42.558
-0.289987591,0.320169787,0.00112105,-34.878
-0.28489118,0.316768211,0.00111628,-34.644
-0.2800409,0.313419684,0.00119949,-35.1
-0.274806356,0.30968004,0.00126553,-38.82
-0.270025076,0.306146107,0.00121165,-38.298
-0.265071164,0.302361285,0.00127435,-39.282
-0.260153253,0.298475195,0.00125194,-44.004
-0.255474035,0.294653961,0.00131202,-42.822
-0.250626624,0.290562942,0.0011797,-46.206
-0.246014969,0.286540587,0.00120331,-49.26
-0.2410398,0.282052334,0.00120521,-48.792
-0.236497145,0.277813156,0.00113273,-44.802
-0.231792233,0.273273669,0.00114227,-36.036
-0.227123322,0.268611658,0.00120974,-32.34
-0.222682729,0.264024688,0.0012436,-27.174
-0.218084318,0.259108958,0.00138379,-21.894
-0.213521906,0.254055517,0.00133158,-19.146
-0.209183376,0.249077489,0.0014124,-18.762
-0.204691464,0.243735047,0.00146104,-21.204
-0.200420497,0.238465984,0.00135613,-22.356
-0.195999085,0.232803239,0.00122715,-24.654
-0.191613673,0.226962063,0.00118447,-20.946
-0.187264262,0.220930447,0.00109101,-26.1
-0.183129857,0.214958639,0.000903372,-31.788
-0.178850945,0.208511843,0.000781778,-39.468
-0.174784102,0.202110179,0.000693087,-50.844
-0.173281542,0.20015111,0.000633482,-47.784
-0.169113958,0.201000151,0.000555996,-38.244
-0.16777646,0.200238466,0.000543837,-36.024
-0.171801615,0.206769784,0.000684742,-31.932
-0.176037026,0.213344594,0.000846628,-32.148
-0.180129744,0.219433232,0.00106526,-26.586
-0.184435656,0.225581623,0.00115324,-23.352
-0.188777567,0.23153514,0.001292,-27.504
-0.192972347,0.237069493,0.00135661,-22.218
-0.197384759,0.242676616,0.00140286,-21.294
-0.201833171,0.248121877,0.00141598,-23.244
-0.206317582,0.253413815,0.00139237,-24.912
-0.210837994,0.25855997,0.00134993,-27.36
-0.215203837,0.2633611,0.00114322,-28.368
-0.219602742,0.268039738,0.00112916,-32.274
-0.224228153,0.272796284,0.00110842,-36.81
-0.228694621,0.277238733,0.00106955,-40.374
-0.233390532,0.281757548,0.0010388,-48.696
-0.238122444,0.286160916,0.00104905,-48.204
-0.242890356,0.290452328,0.00102235,-43.146
-0.247493386,0.294462788,0.00107241,-43.056
-0.252534179,0.298711552,0.00120283,-43.158
-0.257410091,0.302684753,0.00126458,-38.502
-0.262322003,0.306556836,0.0012858,-36.672
-0.267269914,0.310329875,0.00133229,-34.17
-0.272045444,0.313854496,0.00127674,-32.28
-0.277063856,0.317438812,0.00128222,-34.446
-0.281906949,0.320785512,0.00128055,-34.2
-0.28699586,0.324186922,0.0012796,-39.726
-0.292120772,0.327496795,0.00113226,-48.276
-0.297281684,0.330716205,0.00106478,-52.332
-0.299995202,0.332656006,0.001014,-51.798
-0.300756501,0.336022284,0.00105263,-56.37
-0.299657934,0.337986686,0.00108553,-55.032
-0.294682591,0.334987619,0.00117446,-48.222
-0.28952618,0.331772082,0.00125957,-39.216
-0.2846184,0.328607227,0.00129009,-38.43
-0.279532488,0.325216881,0.00133849,-32.604
-0.274482576,0.32173566,0.00139976,-37.206
-0.269468664,0.318162296,0.00142599,-36.798
-0.264490753,0.31449537,0.00129319,-33.804
-0.259548841,0.3107333,0.00132013,-42.468
